Name,XPos,YPos,ZPos
1335,698,776,783
1336,698,783,704
1337,776,679,783
1338,128,777,649
1339,777,762,649
1340,668,679,762
1341,661,128,623
1342,672,778,694
1343,694,644,672
1344,778,488,767
1345,767,694,778
1346,488,778,760
1347,488,760,664
1348,778,672,760
1349,760,672,487
1350,769,776,710
1351,769,679,776
1352,739,726,776
1353,776,698,739
1354,733,779,501
1355,779,500,501
1356,657,779,639
1357,657,639,734
1358,779,733,639
1359,639,733,709
1360,510,770,720
1361,492,499,782
1362,733,782,709
1363,756,733,501
1364,434,783,781
1365,434,781,761
1366,668,784,667
1367,667,696,668
1368,661,784,777
1369,661,777,128
1370,784,668,762
1371,784,762,777
1372,785,522,781
1373,707,786,493
1374,786,660,493
1375,786,707,721
1376,721,707,689
1377,486,654,752
1378,752,654,797
1379,712,752,708
1380,787,708,701
1381,603,788,652
1382,652,699,603
1383,775,729,650
1384,650,789,736
1385,736,775,650
1386,789,622,711
1387,711,736,789
1388,622,789,657
1389,622,657,734
1390,789,650,256
1391,789,256,657
1392,603,790,661
1393,661,788,603
1394,790,667,784
1395,784,661,790
1396,667,790,743
1397,667,743,663
1398,790,603,743
1399,743,603,732
1400,791,765,785
1401,765,791,639
1402,765,639,709
1403,791,713,663
1404,791,663,639
1405,492,792,674
1406,674,499,492
1407,728,674,792
1408,753,792,735
1409,792,492,735
1410,735,492,504
1411,647,788,516
1412,647,652,788
1413,623,627,788
1414,788,661,623
1415,765,522,785
1416,765,709,522
1417,761,781,522
1418,522,740,761
1419,655,742,737
1420,655,502,742
1421,704,754,742
1422,742,758,704
1423,501,714,504
1424,616,714,504
1425,713,781,783
1426,754,704,434
1427,434,704,783
1428,494,518,98
1429,98,485,660
1430,785,713,791
1431,785,781,713
1432,696,663,713
1433,713,783,696
1434,712,787,644
1435,712,708,787
1436,759,793,683
1437,793,772,683
1438,749,793,674
1439,674,793,499
1440,793,759,499
1441,499,759,740
1442,720,794,510
1443,794,780,510
1444,794,746,780
1445,746,794,616
1446,746,616,714
1447,794,720,616
1448,616,720,735
1449,728,795,489
1450,795,98,489
1451,98,660,489
1452,98,795,494
1453,494,795,753
1454,497,796,596
1455,596,503,497
1456,796,787,701
1457,701,596,796
1458,787,796,666
1459,787,666,644
1460,796,497,666
1461,666,497,773
1462,488,741,767
1463,488,664,741
1464,686,757,741
1465,741,628,686
1466,771,782,499
1467,771,709,782
1468,756,492,782
1469,782,733,756
1470,495,498,682
1471,495,773,498
1472,621,755,498
1473,498,681,621
1474,728,753,795
1475,728,792,753
1476,770,738,753
1477,753,735,770
